date,country_name,variant_name,percentage_cases
5/11/20,Argentina,Alpha,0
5/11/20,Argentina,Beta,0
5/11/20,Argentina,Delta,0
5/11/20,Argentina,Epsilon,0
5/11/20,Argentina,Eta,0
5/11/20,Argentina,Gamma,0
5/11/20,Argentina,Iota,0
5/11/20,Argentina,Kappa,0
5/11/20,Argentina,Lambda,0
5/11/20,Argentina,Mu,0
5/11/20,Argentina,others,100
5/11/20,Argentina,Omicron,0
5/11/20,Argentina,Omicron_BA_1,0
5/11/20,Argentina,Omicron_BA_2,0
5/11/20,Argentina,Omicron_BA_2_12_1,0
5/11/20,Argentina,Omicron_BA_2_75,0
5/11/20,Argentina,Omicron_BA_4,0
5/11/20,Argentina,Omicron_BA_5,0
5/11/20,Argentina,Omicron_BQ_1,0
5/11/20,Argentina,Omicron_XBB,0
5/25/20,Argentina,others,100
5/25/20,Argentina,Omicron,0
5/25/20,Argentina,Omicron_BA_1,0
5/25/20,Argentina,Omicron_BA_2,0
5/25/20,Argentina,Omicron_BA_2_12_1,0
5/25/20,Argentina,Omicron_BA_2_75,0
5/25/20,Argentina,Omicron_BA_4,0
5/25/20,Argentina,Omicron_BA_5,0
5/25/20,Argentina,Omicron_BQ_1,0
5/25/20,Argentina,Omicron_XBB,0
7/20/20,Argentina,Iota,0
7/20/20,Argentina,Lambda,0
7/20/20,Argentina,others,100
7/20/20,Argentina,Omicron_BA_1,0
7/20/20,Argentina,Omicron_BA_2,0
7/20/20,Argentina,Omicron_BA_2_12_1,0
7/20/20,Argentina,Omicron_BA_2_75,0
7/20/20,Argentina,Omicron_BA_4,0
7/20/20,Argentina,Omicron_BA_5,0
7/20/20,Argentina,Omicron_BQ_1,0
7/20/20,Argentina,Omicron_XBB,0
8/17/20,Argentina,others,100
8/17/20,Argentina,Omicron_BA_1,0
8/17/20,Argentina,Omicron_BA_2,0
8/17/20,Argentina,Omicron_BA_2_75,0
8/17/20,Argentina,Omicron_BA_4,0
8/17/20,Argentina,Omicron_BA_5,0
8/17/20,Argentina,Omicron_BQ_1,0
8/17/20,Argentina,Omicron_XBB,0
8/31/20,Argentina,Eta,0
8/31/20,Argentina,Iota,0
8/31/20,Argentina,Mu,0
8/31/20,Argentina,others,100
8/31/20,Argentina,Omicron_BA_1,0
8/31/20,Argentina,Omicron_BA_2,0
8/31/20,Argentina,Omicron_BA_2_12_1,0
8/31/20,Argentina,Omicron_BA_4,0
8/31/20,Argentina,Omicron_BA_5,0
8/31/20,Argentina,Omicron_BQ_1,0
8/31/20,Argentina,Omicron_XBB,0
3/15/21,Argentina,others,66.68
3/15/21,Argentina,Omicron_BA_1,0
3/15/21,Argentina,Omicron_BA_2,0
3/15/21,Argentina,Omicron_BA_2_75,0
3/15/21,Argentina,Omicron_BA_4,0
3/15/21,Argentina,Omicron_BA_5,0
3/15/21,Argentina,Omicron_BQ_1,0
3/15/21,Argentina,Omicron_XBB,0
3/29/21,Argentina,Iota,1.42
3/29/21,Argentina,Lambda,7.58
3/29/21,Argentina,others,53.09
3/29/21,Argentina,Omicron_BA_1,0
3/29/21,Argentina,Omicron_BA_2,0
3/29/21,Argentina,Omicron_BA_2_12_1,0
3/29/21,Argentina,Omicron_BA_2_75,0
3/29/21,Argentina,Omicron_BA_4,0
3/29/21,Argentina,Omicron_BA_5,0
3/29/21,Argentina,Omicron_BQ_1,0
3/29/21,Argentina,Omicron_XBB,0
4/12/21,Argentina,others,36.39
4/12/21,Argentina,Omicron_BA_1,0
4/12/21,Argentina,Omicron_BA_2_75,0
4/12/21,Argentina,Omicron_BA_4,0
4/12/21,Argentina,Omicron_BA_5,0
4/12/21,Argentina,Omicron_BQ_1,0
4/12/21,Argentina,Omicron_XBB,0
4/26/21,Argentina,Lambda,15.18
4/26/21,Argentina,others,28.46
4/26/21,Argentina,Omicron_BA_1,0
4/26/21,Argentina,Omicron_BA_2_12_1,0
4/26/21,Argentina,Omicron_BA_4,0
4/26/21,Argentina,Omicron_BA_5,0
4/26/21,Argentina,Omicron_BQ_1,0
4/26/21,Argentina,Omicron_XBB,0
5/10/21,Argentina,others,16.45
5/10/21,Argentina,Omicron_BA_1,0
5/10/21,Argentina,Omicron_BA_2_12_1,0
5/10/21,Argentina,Omicron_BA_4,0
5/10/21,Argentina,Omicron_BQ_1,0
5/10/21,Argentina,Omicron_XBB,0
5/24/21,Argentina,others,7.53
5/24/21,Argentina,Omicron,0
5/24/21,Argentina,Omicron_BA_1,0
5/24/21,Argentina,Omicron_BA_2,0
5/24/21,Argentina,Omicron_BA_2_12_1,0
5/24/21,Argentina,Omicron_BA_2_75,0
5/24/21,Argentina,Omicron_BA_4,0
5/24/21,Argentina,Omicron_BA_5,0
5/24/21,Argentina,Omicron_BQ_1,0
5/24/21,Argentina,Omicron_XBB,0
6/7/21,Argentina,Omicron_BA_1,0
6/7/21,Argentina,Omicron_BA_2,0
6/7/21,Argentina,Omicron_BA_2_75,0
6/7/21,Argentina,Omicron_BA_4,0
6/7/21,Argentina,Omicron_BA_5,0
6/7/21,Argentina,Omicron_BQ_1,0
6/7/21,Argentina,Omicron_XBB,0
6/21/21,Argentina,Omicron_BA_1,0
6/21/21,Argentina,Omicron_BA_2,0
6/21/21,Argentina,Omicron_BA_2_12_1,0
6/21/21,Argentina,Omicron_BA_2_75,0
6/21/21,Argentina,Omicron_BA_4,0
6/21/21,Argentina,Omicron_BA_5,0
6/21/21,Argentina,Omicron_BQ_1,0
6/21/21,Argentina,Omicron_XBB,0
7/5/21,Argentina,Omicron_BA_2,0
7/5/21,Argentina,Omicron_BA_2_12_1,0
7/5/21,Argentina,Omicron_BA_2_75,0
7/5/21,Argentina,Omicron_BA_4,0
7/5/21,Argentina,Omicron_BA_5,0
7/5/21,Argentina,Omicron_BQ_1,0
7/5/21,Argentina,Omicron_XBB,0
7/19/21,Argentina,Omicron_BA_2_12_1,0
7/19/21,Argentina,Omicron_BA_4,0
7/19/21,Argentina,Omicron_BA_5,0
7/19/21,Argentina,Omicron_BQ_1,0
